p5p港台,#genre#
哔哩轮播,#genre#
TVB星河,http://103.140.229.13/BOBO/bibi.php?id=23285297
邵氏影院老电影,http://103.140.229.13/BOBO/bibi.php?id=21759196
1905电影网,http://103.140.229.13/BOBO/bibi.php?id=22728767
经典功夫台,http://103.140.229.13/BOBO/bibi.php?id=21715386
经典影视台,http://103.140.229.13/BOBO/bibi.php?id=23169468
【阿梅】大片经典,http://103.140.229.13/BOBO/bibi.php?id=127343
【怀旧影视】国语专场,http://103.140.229.13/BOBO/bibi.php?id=8199817
怀旧剧场：大寶台,http://103.140.229.13/BOBO/bibi.php?id=21973833
/BOBO/bibi.php?id=23490613
【周星驰】喜剧 动作 僵尸,http://103.140.229.13/BOBO/bibi.php?id=47917
林正英 鬼片 僵尸 经典 护体,http://103.140.229.13/BOBO/bibi.php?id=70155
林正英 鬼片 僵尸 女鬼 经典 高能,http://103.140.229.13/BOBO/bibi.php?id=5226265
【小凤仙】林正英 鬼片 僵尸 24小时,http://103.140.229.13/BOBO/bibi.php?id=21360358
鬼片老片僵尸片林正英开心鬼,http://103.140.229.13/BOBO/bibi.php?id=22777909
粤语tbb电影动画综艺,http://103.140.229.13/BOBO/bibi.php?id=136843
橙子影视1台,http://103.140.229.13/BOBO/bibi.php?id=23318788
橙子台影视2台,http://103.140.229.13/BOBO/bibi.php?id=21571201
橙子影视3台,http://103.140.229.13/BOBO/bibi.php?id=23318768
橙子影视4台,http://103.140.229.13/BOBO/bibi.php?id=23320714
粤语电影,http://103.140.229.13/BOBO/bibi.php?id=23464888
恶作剧之吻1、2部 ,http://103.140.229.13/BOBO/bibi.php?id=21298611
终极一家 终极三国,http://103.140.229.13/BOBO/bibi.php?id=22587179
一起看,http://103.140.229.13/BOBO/bibi.php?id=21680912
经典国剧,http://103.140.229.13/BOBO/bibi.php?id=21791019
王子变青蛙/忘记你记得爱情,http://103.140.229.13/BOBO/bibi.php?id=3712061
放羊的星星/命中注定我爱你,http://103.140.229.13/BOBO/bibi.php?id=9742831
靖洋戏剧台美猴王,http://103.140.229.13/BOBO/bibi.php?id=23118245
【4K时光】,http://103.140.229.13/BOBO/bibi.php?id=22449693
少年包青天1,http://103.140.229.13/BOBO/bibi.php?id=8566972
西片,http://103.140.229.13/BOBO/bibi.php?id=21377115
光芒继承者,http://103.140.229.13/BOBO/bibi.php?id=21790081
倚天屠龙记,http://103.140.229.13/BOBO/bibi.php?id=22361077
电视剧 电影 动画 动漫 点播,http://103.140.229.13/BOBO/bibi.php?id=22054619
神话时空电影,http://103.140.229.13/BOBO/bibi.php?id=22747403
思密达爱情剧轮播,http://103.140.229.13/BOBO/bibi.php?id=21393257
松鼠电影屋动作片专场,http://103.140.229.13/BOBO/bibi.php?id=6827037
【一剑】经典电视剧精选,http://103.140.229.13/BOBO/bibi.php?id=23331776
【台剧俗女养成记1、2部,http://103.140.229.13/BOBO/bibi.php?id=1861656
恶吻/不良笑花/公主小妹,http://103.140.229.13/BOBO/bibi.php?id=23179425
放羊的星星,http://103.140.229.13/BOBO/bibi.php?id=22992262
七十二家房客,http://103.140.229.13/BOBO/bibi.php?id=23436741
放羊的星星,http://103.140.229.13/BOBO/bibi.php?id=22776783
时装~【粤语】,http://103.140.229.13/BOBO/bibi.php?id=2080306
东北一家人,http://103.140.229.13/BOBO/bibi.php?id=22912887
怀旧老剧联播,http://103.140.229.13/BOBO/bibi.php?id=22786199
龙门镖局,http://103.140.229.13/BOBO/bibi.php?id=12156991
武林现代版】都市男女,http://103.140.229.13/BOBO/bibi.php?id=4791461
【原版士兵突击】别再叫我【龟】儿子-轮播,http://103.140.229.13/BOBO/bibi.php?id=23462178
少年包青天高清123神雕侠侣雕英雄传天八,http://103.140.229.13/BOBO/bibi.php?id=23145747
随便看看,http://103.140.229.13/BOBO/bibi.php?id=23020622
新白娘子传奇,http://103.140.229.13/BOBO/bibi.php?id=5960549
【伪装者】,http://103.140.229.13/BOBO/bibi.php?id=14386552
铁齿铜牙纪晓岚 神探狄仁杰 人间正道,http://103.140.229.13/BOBO/bibi.php?id=22665698
医馆笑传,http://103.140.229.13/BOBO/bibi.php?id=21070400
李子键狄仁杰,http://103.140.229.13/BOBO/bibi.php?id=21364958
少年包青天3,http://103.140.229.13/BOBO/bibi.php?id=22964018
少年包青天] 暴雨梨花针,http://103.140.229.13/BOBO/bibi.php?id=4928767
命中注定我爱你+恶作剧之吻,http://103.140.229.13/BOBO/bibi.php?id=15083950
红楼梦,http://103.140.229.13/BOBO/bibi.php?id=5568482
海豚湾恋人,http://103.140.229.13/BOBO/bibi.php?id=21694925
狄仁杰神探系列,http://103.140.229.13/BOBO/bibi.php?id=8331905
大宋提刑官 狄仁杰 神探 断案传奇,http://103.140.229.13/BOBO/bibi.php?id=22241052
捉鬼,http://103.140.229.13/BOBO/bibi.php?id=22033743
终极一班一家三国,http://103.140.229.13/BOBO/bibi.php?id=10174580
炊事班的故事1、2部,http://103.140.229.13/BOBO/bibi.php?id=14457148
铁齿铜牙纪晓岚o,http://103.140.229.13/BOBO/bibi.php?id=6694373
扎导版《龙门镖局》,http://103.140.229.13/BOBO/bibi.php?id=81789
陈侨恩侨千金百分百,http://103.140.229.13/BOBO/bibi.php?id=21694925
[炊事班的故事]超清,http://103.140.229.13/BOBO/bibi.php?id=21354981
特摄放映室奥特曼4K重制版,http://103.140.229.13/BOBO/bibi.php?id=10267370
倚天屠龙记板栗,http://103.140.229.13/BOBO/bibi.php?id=21974731
一起追剧放羊星星,http://103.140.229.13/BOBO/bibi.php?id=2811145
曲线救国贾队长晴天,http://103.140.229.13/BOBO/bibi.php?id=21070039
少年包青天-1和3部,http://103.140.229.13/BOBO/bibi.php?id=2803563
士兵突击,http://103.140.229.13/BOBO/bibi.php?id=8504386
僵尸 灵幻 喜剧幻想余生夜,http://103.140.229.13/BOBO/bibi.php?id=22070492
康熙微服私访记1—4,http://103.140.229.13/BOBO/bibi.php?id=4153440
影视剧轮播Cassiel,http://103.140.229.13/BOBO/bibi.php?id=23304182
十五夜,http://103.140.229.13/BOBO/bibi.php?id=75989
【大秦帝国】：秦武安,http://103.140.229.13/BOBO/bibi.php?id=11259274
新白娘子传奇狮子,http://103.140.229.13/BOBO/bibi.php?id=5960549
蓉城影院,http://103.140.229.13/BOBO/bibi.php?id=2456525
【怀旧老剧联播】Young,http://103.140.229.13/BOBO/bibi.php?id=22786199
【大秦帝国】放映厅,http://103.140.229.13/BOBO/bibi.php?id=21733247
放羊的星星乡民,http://103.140.229.13/BOBO/bibi.php?id=22776783
催泪片场！！！,http://103.140.229.13/BOBO/bibi.php?id=23340779
【宰相刘墉】辣椒酱,http://103.140.229.13/BOBO/bibi.php?id=22621344
小唐菜,http://103.140.229.13/BOBO/bibi.php?id=23513347
铁齿铜牙纪晓岚一和二无片头尾,http://103.140.229.13/BOBO/bibi.php?id=572978
IDOLiSH7 アイドリッシュセブン,http://103.140.229.13/BOBO/bibi.php?id=807006
神探高能影视台,http://103.140.229.13/BOBO/bibi.php?id=1546352
非时政>陕北锤王孙少安-《平凡的世界》,http://103.140.229.13/BOBO/bibi.php?id=8314254
【经典影剧馆】终极三国,http://103.140.229.13/BOBO/bibi.php?id=22527703
宝莲灯前传-微笑pasta-宝莲灯电视剧,http://103.140.229.13/BOBO/bibi.php?id=22524461
阳光的快乐生活1-8季,http://103.140.229.13/BOBO/bibi.php?id=9816952
回忆杀,http://103.140.229.13/BOBO/bibi.php?id=6237182
经典动画山海壹零玖,http://103.140.229.13/BOBO/bibi.php?id=23162926
金粉世家,http://103.140.229.13/BOBO/bibi.php?id=5749539
新还珠 花非花 轮播（介意慎入）,http://103.140.229.13/BOBO/bibi.php?id=23296277
SaturnRing｜ForDE,http://103.140.229.13/BOBO/bibi.php?id=23542596
我的团长我的团,http://103.140.229.13/BOBO/bibi.php?id=14901318
【经典】xiner1216yo,http://103.140.229.13/BOBO/bibi.php?id=3123520
大明宫词轮播,http://103.140.229.13/BOBO/bibi.php?id=21046732
倩女幽魂,http://103.140.229.13/BOBO/bibi.php?id=6304822
狄仁杰,http://103.140.229.13/BOBO/bibi.php?id=23198102
【老剧时间】点心团子,http://103.140.229.13/BOBO/bibi.php?id=22875536
鹤山大碌竹会客室新粤语区电影剧集动漫,http://103.140.229.13/BOBO/bibi.php?id=1324160
粤语 日语 动漫 电影 音乐 MV,http://103.140.229.13/BOBO/bibi.php?id=4654153
比七个夏天和寒冷的冬天！更加长久！BTS,http://103.140.229.13/BOBO/bibi.php?id=22153308
金婚,http://103.140.229.13/BOBO/bibi.php?id=22877510
防弹少年团BTS,http://103.140.229.13/BOBO/bibi.php?id=22981039
下一站幸福|海豚湾恋人|MVP情人|轮播,http://103.140.229.13/BOBO/bibi.php?id=23193465
8090？自助点播（电视剧）,http://103.140.229.13/BOBO/bibi.php?id=142721
喜欢欧皓辰的第一千天,http://103.140.229.13/BOBO/bibi.php?id=927029
冯佳人,http://103.140.229.13/BOBO/bibi.php?id=23619845
道长/卫斯理,http://103.140.229.13/BOBO/bibi.php?id=23000383
西游后传,http://103.140.229.13/BOBO/bibi.php?id=儿7268271
粤语 配音 电视,http://103.140.229.13/BOBO/bibi.php?id=1317122
汪东城,http://103.140.229.13/BOBO/bibi.php?id=4553892
粤语老番,http://103.140.229.13/BOBO/bibi.php?id=7691685
黑冰,http://103.140.229.13/BOBO/bibi.php?id=23565272
老电视剧,http://103.140.229.13/BOBO/bibi.php?id=23612520
摸鱼,http://103.140.229.13/BOBO/bibi.php?id=56064
古灵jing探国语版,http://103.140.229.13/BOBO/bibi.php?id=23621380
天师钟馗,http://103.140.229.13/BOBO/bibi.php?id=23563952
bilibili主播,http://103.140.229.13/BOBO/bibi.php?id=51082
腾讯视频,http://103.140.229.13/BOBO/bibi.php?id=9877299
灰猎犬号、狙击手：幽灵射手 两连发,http://103.140.229.13/BOBO/bibi.php?id=23621622
花样少年少女,http://103.140.229.13/BOBO/bibi.php?id=23610156
【五亿探长雷洛传】,http://103.140.229.13/BOBO/bibi.php?id=22337593
逆袭女警特别篇,http://103.140.229.13/BOBO/bibi.php?id=23633652
武林达人秀,http://103.140.229.13/BOBO/bibi.php?id=14536431
麻雀爱上凤凰,http://103.140.229.13/BOBO/bibi.php?id=23474935
郭德昌剧集,http://103.140.229.13/BOBO/bibi.php?id=23506460
仙乐最美,http://103.140.229.13/BOBO/bibi.php?id=23613991
九阳神功、乾坤大挪移、风和云争霸,http://103.140.229.13/BOBO/bibi.php?id=14262592
游戏全能娱乐小王子,http://103.140.229.13/BOBO/bibi.php?id=23429526
和大人,http://103.140.229.13/BOBO/bibi.php?id=23433709
江湖儿女,http://103.140.229.13/BOBO/bibi.php?id=23393109
一起看电影——紗耶_sayako,http://103.140.229.13/BOBO/bibi.php?id=21749031
剧集电影综艺音乐剧,http://103.140.229.13/BOBO/bibi.php?id=1215668
粤语版动画、电影、电视剧,http://103.140.229.13/BOBO/bibi.php?id=1528670
动漫少儿/电影科学,http://103.140.229.13/BOBO/bibi.php?id=22426070
林正英搞笑系列,http://103.140.229.13/BOBO/bibi.php?id=23287854
来看美女女团,http://103.140.229.13/BOBO/bibi.php?id=22969683
天下第一可爱养乌龙猫的欠欠,http://103.140.229.13/BOBO/bibi.php?id=9115569
一点歌kavencat,http://103.140.229.13/BOBO/bibi.php?id=3702914
动画狂欢曲-芭比少儿,http://103.140.229.13/BOBO/bibi.php?id=662181
搓碟现场音乐,http://103.140.229.13/BOBO/bibi.php?id=426077
在b站看b站,http://103.140.229.13/BOBO/bibi.php?id=4091339
康子直播,http://103.140.229.13/BOBO/bibi.php?id=21161874
放放演唱会,http://103.140.229.13/BOBO/bibi.php?id=202881
GBA56,http://103.140.229.13/BOBO/bibi.php?id=22759959
刘惜君 我和我的祖国,http://103.140.229.13/BOBO/bibi.php?id=22786802
破旧的音悦台（点歌姬已开放）,http://103.140.229.13/BOBO/bibi.php?id=215057
防弹少年团BTS,http://103.140.229.13/BOBO/bibi.php?id=22981039
公视,http://103.140.229.13/BOBO/bibi.php?id=13889350
音乐台,http://103.140.229.13/BOBO/bibi.php?id=23631474
粤语怀旧影视剧集,http://103.140.229.13/BOBO/bibi.php?id=8613737
高清电影,http://103.140.229.13/BOBO/bibi.php?id=22054083
经典喜剧,http://103.140.229.13/BOBO/bibi.php?id=826124
混剪周杰伦,http://103.140.229.13/BOBO/bibi.php?id=9038219
怀旧经典剧 武侠 神话 神断案,http://103.140.229.13/BOBO/bibi.php?id=21763462
黄余呢（精品电影赏）,http://103.140.229.13/BOBO/bibi.php?id=10513567
鱿鱼游戏等电影,http://103.140.229.13/BOBO/bibi.php?id=23299821
神话 胡歌 成龙,http://103.140.229.13/BOBO/bibi.php?id=7251976
电影学考研,http://103.140.229.13/BOBO/bibi.php?id=11980561
粤语乘龙怪婿1-3部,http://103.140.229.13/BOBO/bibi.php?id=22681174
终极一班一家三国一班3恶女,http://103.140.229.13/BOBO/bibi.php?id=23017862
一起同过窗,http://103.140.229.13/BOBO/bibi.php?id=75989
高分害怕领域！,http://103.140.229.13/BOBO/bibi.php?id=20768
电影原声音乐沙龙,http://103.140.229.13/BOBO/bibi.php?id=21921887
周星驰 林正英 李连杰 搞笑 动作 武侠,http://103.140.229.13/BOBO/bibi.php?id=23141287
周杰伦演唱会,http://103.140.229.13/BOBO/bibi.php?id=12164280
老北京电影！,http://103.140.229.13
王子变青蛙,http://103.140.229.13/BOBO/bibi.php?id=5438349
周星驰成龙李连杰林正英经典电影,http://103.140.229.13/BOBO/bibi.php?id=22946948
粤语 配音 动画,http://103.140.229.13/BOBO/bibi.php?id=21221987
粤片粤睇,http://103.140.229.13/BOBO/bibi.php?id=6134672
粤语电影超清HD 点播 国语,http://103.140.229.13/BOBO/bibi.php?id=5690920
倚天屠龙记4731,http://103.140.229.13/BOBO/bibi.php?id=21974731
【动漫/剧场版】二次元所有动漫,http://103.140.229.13/BOBO/bibi.php?id=2575775
【蜡笔小新】国语少儿,http://103.140.229.13/BOBO/bibi.php?id=10375360
蜡笔小新,http://103.140.229.13/BOBO/bibi.php?id=1895574
蜡笔小新24h睡觉少儿,http://103.140.229.13/BOBO/bibi.php?id=11579951
蜡笔小新专场少儿,http://103.140.229.13/BOBO/bibi.php?id=3651270
【蜡笔小新/星际宝贝】少儿,http://103.140.229.13/BOBO/bibi.php?id=22804740
樱桃小丸子国语台配少儿,http://103.140.229.13/BOBO/bibi.php?id=11765640
161全集猫和老鼠少儿,http://103.140.229.13/BOBO/bibi.php?id=2171135
【一切随缘】少儿,http://103.140.229.13/BOBO/bibi.php?id=27844
原声中文字幕：猫和老鼠少儿,http://103.140.229.13/BOBO/bibi.php?id=1024814
蜡笔小新怀旧版少儿轮播,http://103.140.229.13/BOBO/bibi.php?id=23427644
【哆啦A梦】少儿旧版全集,http://103.140.229.13/BOBO/bibi.php?id=1717236
【哆啦A梦】旧版班长少儿,http://103.140.229.13/BOBO/bibi.php?id=1717236
蜡笔小新新番连载酱少儿,http://103.140.229.13/BOBO/bibi.php?id=23190944
【奥特曼60帧系列】少儿,http://103.140.229.13/BOBO/bibi.php?id=7076493
赛季初APEX少儿,http://103.140.229.13/BOBO/bibi.php?id=21316590
中华小当家/中华一番少儿,http://103.140.229.13/BOBO/bibi.php?id=655291
飞出个未来少儿,http://103.140.229.13/BOBO/bibi.php?id=1954990
动漫点播屋（少儿,http://103.140.229.13/BOBO/bibi.php?id=4089143
蜡笔小新新番社少儿,http://103.140.229.13/BOBO/bibi.php?id=23298495
动漫 奥特曼 超级战队 其他特摄少儿,http://103.140.229.13/BOBO/bibi.php?id=939703
樱桃小丸子画画少儿,http://103.140.229.13/BOBO/bibi.php?id=11392177
名侦探柯南龍燚少儿,http://103.140.229.13/BOBO/bibi.php?id=181453
涂糊涂的蜡笔小新少儿,http://103.140.229.13/BOBO/bibi.php?id=49132
[蜡笔小新]爱动漫少儿,http://103.140.229.13/BOBO/bibi.php?id=22683218
樱桃小丸子八少儿,http://103.140.229.13/BOBO/bibi.php?id=6554860
哆啦A梦系列剧场版,http://103.140.229.13/BOBO/bibi.php?id=23167575
少儿童年哆啦A梦,http://103.140.229.13/BOBO/bibi.php?id=472369
妖精的尾巴少儿,http://103.140.229.13/BOBO/bibi.php?id=23306216
加菲猫少儿,http://103.140.229.13/BOBO/bibi.php?id=2120904
新版猫和老鼠,http://103.140.229.13/BOBO/bibi.php?id=22905626
【精选影视】机核熊猫少儿,http://103.140.229.13/BOBO/bibi.php?id=23424971
【日常】转发少儿,http://103.140.229.13/BOBO/bibi.php?id=164725
全职猎人少儿重制,http://103.140.229.13/BOBO/bibi.php?id=4303753
四驱兄弟/爆走兄弟少儿,http://103.140.229.13/BOBO/bibi.php?id=10544270
【全天】樱桃小丸子国语少儿,http://103.140.229.13/BOBO/bibi.php?id=21991469
奥特曼五代剑崎,http://103.140.229.13/BOBO/bibi.php?id=765452
追忆似水年华少儿,http://103.140.229.13/BOBO/bibi.php?id=22236309
中华小子7×24小时连播少儿,http://103.140.229.13/BOBO/bibi.php?id=22194340
超兽武装循环少儿,http://103.140.229.13/BOBO/bibi.php?id=7356276
台配樱桃小丸子少儿,http://103.140.229.13/BOBO/bibi.php?id=5827128
经典番剧/动漫/剧场少儿版,http://103.140.229.13/BOBO/bibi.php?id=21751462
粤次元,http://103.140.229.13/BOBO/bibi.php?id=21664542
裸什么熊少儿,http://103.140.229.13/BOBO/bibi.php?id=3646375
犬夜叉,http://103.140.229.13/BOBO/bibi.php?id=4519788
【星游记】少儿,http://103.140.229.13/BOBO/bibi.php?id=23172056
猫和老鼠206集少儿,http://103.140.229.13/BOBO/bibi.php?id=23150676
D录像厅 80后动画兔八哥动画少儿国语,http://103.140.229.13/BOBO/bibi.php?id=22987700
偶像活动~第一季少儿,http://103.140.229.13/BOBO/bibi.php?id=23119418
童年回忆X百变小樱少儿,http://103.140.229.13/BOBO/bibi.php?id=34340
童年的纸飞机。,http://103.140.229.13/BOBO/bibi.php?id=23237409
加菲猫动画少儿,http://103.140.229.13/BOBO/bibi.php?id=906034
回忆杀 | 快乐驿站少儿,http://103.140.229.13/BOBO/bibi.php?id=641743
1080p DC 漫威 5.1 杜比声少儿,http://103.140.229.13/BOBO/bibi.php?id=871583
【超兽武装】洛洛、少儿果宝轮播,http://103.140.229.13/BOBO/bibi.php?id=1338250
粤语版动画、电影、少儿电视剧,http://103.140.229.13/BOBO/bibi.php?id=1528670
新赛季，我emo了少儿,http://103.140.229.13/BOBO/bibi.php?id=22070914
布heart粤语动画电视台,http://103.140.229.13/BOBO/bibi.php?id=2584006
动画片.要开心少儿,http://103.140.229.13/BOBO/bibi.php?id=23608282
钢铁飞龙少儿,http://103.140.229.13/BOBO/bibi.php?id=22221259
便宜动画·范马刃牙,http://103.140.229.13/BOBO/bibi.php?id=14479
【烧包谷】树莓派不断电少儿,http://103.140.229.13/BOBO/bibi.php?id=5977175
恰饱饱然后少儿游戏,http://103.140.229.13/BOBO/bibi.php?id=21322066
东方儿童】奥特曼,http://103.140.229.13/BOBO/bibi.php?id=4727584
小邦邦传承粤语散播日漫,http://103.140.229.13/BOBO/bibi.php?id=3364782
看番聊天,http://103.140.229.13/BOBO/bibi.php?id=3529364
鱼肉烧,http://103.140.229.13/BOBO/bibi.php?id=2010774
汤姆的各种形状,http://103.140.229.13/BOBO/bibi.php?id=23492753
云南剧歌少儿,http://103.140.229.13/BOBO/bibi.php?id=23631182
鱼缸,http://103.140.229.13/BOBO/bibi.php?id=21665630
【初恋脸】,http://103.140.229.13/BOBO/bibi.php?id=21665630764155
主播38岁带38娃8套房,http://103.140.229.13/BOBO/bibi.php?id=23453172
女仆装！整点跳舞,http://103.140.229.13/BOBO/bibi.php?id=23214358
小央上班追综艺,http://103.140.229.13/BOBO/bibi.php?id=8178490
祢豆子找哥哥,http://103.140.229.13/BOBO/bibi.php?id=23071087
超会玩的墩墩儿,http://103.140.229.13/BOBO/bibi.php?id=23270938
收不到舰长不下播,http://103.140.229.13/BOBO/bibi.php?id=23574884
耐看型 今日素颜 别走！,http://103.140.229.13/BOBO/bibi.php?id=23550094

千首音乐,#genre#
吴莫愁+_+就現在,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kkm1btpwqm25suzw.mp4
By2_没理由,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kmbyf4x2aeqt8cds.mp4
萧全+_+社会摇,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kkmxairac93q0vyu.mp4
撞+火箭少女101,http://qukufile2.qianqian.com/data2/video/a1a7f95a2b3d048962f48e94de90c3de/608006750/608006750.mp4
LIGHT+火箭少女101,http://qukufile2.qianqian.com/data2/video/691cd7852e98754882da7827879cc8dd/607968455/607968455.mp4
卡路里+火箭少女101,http://qukufile2.qianqian.com/data2/video/02cca8d7303f608a2ea1621a6ebd8ad4/607962657/607962657.mp4
荣誉星球+火箭少女101,http://qukufile2.qianqian.com/data2/video/c6dfcb0a40674ea89d95f90f648e24b0/614309868/614309868.mp4
毒液前来火+箭少女101,http://qukufile2.qianqian.com/data2/video/be217297601b7cb006f95f5f871d4053/608669409/608669409.mp4
陈小云爱人跟人走,http://vd4.bdstatic.com/mda-jgvqig36bu4rc0ej/sc/mda-jgvqig36bu4rc0ej.mp4
李玲玉女儿情,http://vd4.bdstatic.com/mda-jiqh0kcd7kgpwnmb/sc/mda-jiqh0kcd7kgpwnmb.mp4
二小姐酒梦,http://vd4.bdstatic.com/mda-jisq7k1t5n821tjt/sc/mda-jisq7k1t5n821tjt.mp4
孟庭苇-雾里看花,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/fi3PjAgsnTjwzAvSboT%40%40hd.m3u8
伤心痛,http://jsmov2.a.yximgs.com:80/upic/2019/12/23/16/BMjAxOTEyMjMxNjA2NTVfMTU0MDc1NjUwOF8yMDgzNzIyNjQ4Ml8yXzM=_b_Bb25f4d256d6e5bfd0cbd38d3c2324689.mp4
范玮琪-我们的纪念日,http://vodcdn.video.taobao.com/oss/taobao-ugc/d38a89c6b5ab41b4ab80423741fbe8d6/1466066405/video.m3u8.m3u8
天地无霜,https://vdse.bdstatic.com//bd1f7fcb1263b608c60793c5c7094ce9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T15%3A25%3A13Z%2F-1%2Fhost
容祖儿/李克勤-相爱很难,http://vodcdn.video.taobao.com/oss/taobao-ugc/292bedca9ff44570924d111d4e3cab09/1520612407/video.m3u8.m3u8
孟庭苇-风中有朵雨做的云,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Cg9qI5imMInpPvK5Mnm%40%40hd.m3u8
刘明湘-漂洋过海来看你,https://vd2.bdstatic.com/mda-md803hz7qezp459d/sc/mda-md803hz7qezp459d.mp4
蔡丽津月圆情,http://vd3.bdstatic.com/mda-jm53zq7k0b0kbxch/sc/mda-jm53zq7k0b0kbxch.mp4
孟庭苇-把思念寄托远方,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Y0iKpwmE2YZona6PY7A%40%40hd.m3u8
孟庭苇-一个爱上浪漫的人,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/DpBYbctgwaRj7bEYzFn%40%40hd.m3u8
原版大鱼海棠,http://vd3.bdstatic.com/mda-jm9x2pw13gpb4d82/sc/mda-jm9x2pw13gpb4d82.mp4
翁立友今生今世,http://vd3.bdstatic.com/mda-ji4sadsbxes30b8h/mda-ji4sadsbxes30b8h.mp4
罗时丰爱情的路,http://vd4.bdstatic.com/mda-jcrjcp1wy5q2i00n/sc/mda-jcrjcp1wy5q2i00n.mp4
翁立友沃澹的相片,http://vd4.bdstatic.com/mda-jefjhd593hvtfjsc/sc/mda-jefjhd593hvtfjsc.mp4
张碧晨-凉凉,http://vodcdn.video.taobao.com/oss/taobao-ugc/81a4db5f7bb14f2e8260445fedc805c0/1484029283/video.m3u8.m3u8
大壮-我们不一样,http://vodcdn.video.taobao.com/oss/taobao-ugc/9572871aa45747a786679a822d7e2709/1511859261/video.m3u8.m3u8
李翊君-多情人都把灵魂给了谁,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/o1koj80kDcERprb8epC%40%40hd.m3u8
孟庭苇-相爱的可能,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/5lsxCqoKs6ZE7MfJZvM%40%40hd.m3u8
龙梅子-泪满天,http://vodcdn.video.taobao.com/oss/ali-video/2ea2890443421f58665a7fdf0a297265/video.m3u8
翁立友用泪写缘份,http://vd4.bdstatic.com/mda-ijfeqx4zc0gxq5jq/sc/mda-ijfeqx4zc0gxq5jq.mp4
孟庭苇-过冬,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/U9QKnKK2RpKMElnSS07%40%40hd.m3u8
孟庭苇-爱你太深,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/KbJb4OVT1yH1ZDvri5p%40%40hd.m3u8
裘正海-爱我的人和我爱的人,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/9Nbjzo7cialBKOcZ0fj%40%40hd.m3u8
孟庭苇-不下雨就出太阳吧,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/lhaW77A2RRwiJrh0CiJ%40%40hd.m3u8
